"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"        Estimate","1,793,239","","","1,520,776","32,114","16,939","135,686","4,456","35,290","47,978","107,475","1,455,965","","190,891","294,694","359,176","416,525","330,412","150,638","50,903","","91,046","313,568","614,433","774,192","","119,188","197,152","360,304","553,853","300,228","262,514"
"        Margin of Error","±8,958","","","±7,548","±1,085","±681","±1,860","±426","±1,350","±1,593","±2,290","±6,648","","±3,240","±3,395","±3,082","±2,930","±2,219","±1,994","±1,337","","±1,929","±3,441","±4,679","±6,761","","±2,539","±3,408","±4,347","±5,123","±3,048","±2,602"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,793,239","","","84.8%","1.8%","0.9%","7.6%","0.2%","2.0%","2.7%","6.0%","81.2%","","10.6%","16.4%","20.0%","23.2%","18.4%","8.4%","2.8%","","5.1%","17.5%","34.3%","43.2%","","6.6%","11.0%","20.1%","30.9%","16.7%","14.6%"
"        Margin of Error","±8,958","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.1","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,055,157","","","768,594","69,783","15,412","83,302","9,199","51,881","56,986","135,082","697,089","","416,283","205,641","151,800","126,591","78,352","43,375","33,115","","107,340","230,227","388,604","328,986","","235,077","301,536","352,181","127,298","26,221","12,844"
"        Margin of Error","±6,286","","","±5,569","±1,757","±778","±1,842","±694","±1,717","±1,801","±2,216","±5,345","","±3,878","±3,334","±2,938","±2,758","±1,712","±1,386","±1,092","","±2,679","±4,168","±4,966","±4,201","","±3,706","±4,446","±4,314","±2,454","±1,082","±844"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,055,157","","","72.8%","6.6%","1.5%","7.9%","0.9%","4.9%","5.4%","12.8%","66.1%","","39.5%","19.5%","14.4%","12.0%","7.4%","4.1%","3.1%","","10.2%","21.8%","36.8%","31.2%","","22.3%","28.6%","33.4%","12.1%","2.5%","1.2%"
"        Margin of Error","±6,286","","","±0.3","±0.2","±0.1","±0.2","±0.1","±0.2","±0.2","±0.2","±0.3","","±0.4","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.4","±0.4","±0.4","","±0.3","±0.4","±0.4","±0.2","±0.1","±0.1"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","732,585","","","691,848","25,114","1,502","4,944","127","2,133","6,917","7,631","686,346","","117,457","109,513","127,918","152,635","128,774","69,186","27,102","","90,549","275,931","203,571","162,534","","53,558","86,487","148,242","182,953","107,520","153,825"
"        Margin of Error","±2,601","","","±2,520","±669","±307","±350","±85","±343","±474","±475","±2,416","","±1,951","±1,434","±1,236","±1,354","±1,055","±1,173","±913","","±2,152","±2,958","±3,149","±2,993","","±1,572","±2,092","±2,218","±2,594","±2,192","±2,211"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","732,585","","","94.4%","3.4%","0.2%","0.7%","0.0%","0.3%","0.9%","1.0%","93.7%","","16.0%","14.9%","17.5%","20.8%","17.6%","9.4%","3.7%","","12.4%","37.7%","27.8%","22.2%","","7.3%","11.8%","20.2%","25.0%","14.7%","21.0%"
"        Margin of Error","±2,601","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.2","±0.3","±0.3","±0.3","±0.3","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","536,153","","","516,875","10,637","889","2,761","50","953","3,988","4,393","513,586","","49,080","74,961","96,172","123,042","109,791","60,193","22,914","","60,255","204,529","141,730","129,639","","18,788","34,661","84,081","153,169","98,691","146,763"
"        Margin of Error","±3,708","","","±3,538","±598","±233","±269","±42","±219","±363","±466","±3,440","","±1,514","±1,517","±1,523","±1,445","±1,015","±1,157","±824","","±1,742","±2,362","±2,791","±2,751","","±1,044","±1,354","±1,741","±2,709","±2,110","±2,267"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","536,153","","","96.4%","2.0%","0.2%","0.5%","0.0%","0.2%","0.7%","0.8%","95.8%","","9.2%","14.0%","17.9%","22.9%","20.5%","11.2%","4.3%","","11.2%","38.1%","26.4%","24.2%","","3.5%","6.5%","15.7%","28.6%","18.4%","27.4%"
"        Margin of Error","±3,708","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.3","±0.2","±0.2","±0.2","±0.2","","±0.3","±0.4","±0.4","±0.5","","±0.2","±0.2","±0.3","±0.5","±0.4","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","196,432","","","174,973","14,477","613","2,183","77","1,180","2,929","3,238","172,760","","68,377","34,552","31,746","29,593","18,983","8,993","4,188","","30,294","71,402","61,841","32,895","","34,770","51,826","64,161","29,784","8,829","7,062"
"        Margin of Error","±2,946","","","±2,965","±714","±203","±288","±77","±277","±379","±378","±2,934","","±1,517","±1,284","±1,169","±1,190","±805","±613","±461","","±1,270","±2,035","±1,684","±1,116","","±1,270","±1,545","±1,834","±1,145","±641","±511"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","196,432","","","89.1%","7.4%","0.3%","1.1%","0.0%","0.6%","1.5%","1.6%","87.9%","","34.8%","17.6%","16.2%","15.1%","9.7%","4.6%","2.1%","","15.4%","36.3%","31.5%","16.7%","","17.7%","26.4%","32.7%","15.2%","4.5%","3.6%"
"        Margin of Error","±2,946","","","±0.5","±0.4","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.5","","±0.7","±0.6","±0.5","±0.5","±0.4","±0.3","±0.2","","±0.6","±0.8","±0.8","±0.5","","±0.6","±0.7","±0.7","±0.6","±0.3","±0.3"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,358,156","","","2,096,618","132,136","19,139","47,532","611","34,076","28,044","106,297","2,030,721","","469,820","379,411","428,252","473,843","341,058","181,442","84,330","","162,813","667,677","786,923","740,743","","237,788","344,870","535,922","572,401","322,670","344,505"
"        Margin of Error","±7,031","","","±6,880","±1,487","±596","±886","±139","±1,261","±1,047","±1,452","±6,533","","±3,456","±1,872","±1,965","±1,775","±1,683","±1,711","±1,653","","±2,368","±3,781","±4,891","±6,354","","±3,407","±3,311","±4,335","±3,956","±2,927","±2,996"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,358,156","","","88.9%","5.6%","0.8%","2.0%","0.0%","1.4%","1.2%","4.5%","86.1%","","19.9%","16.1%","18.2%","20.1%","14.5%","7.7%","3.6%","","6.9%","28.3%","33.4%","31.4%","","10.1%","14.6%","22.7%","24.3%","13.7%","14.6%"
"        Margin of Error","±7,031","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,580,939","","","1,490,538","33,660","8,880","22,225","239","12,747","12,650","43,498","1,461,751","","171,013","250,594","318,789","374,620","276,367","139,762","49,794","","81,889","430,282","509,242","559,526","","79,896","132,826","272,072","470,281","297,667","328,197"
"        Margin of Error","±8,718","","","±7,726","±1,123","±423","±712","±74","±727","±626","±1,231","±7,237","","±2,848","±2,400","±2,535","±2,189","±1,884","±1,465","±1,286","","±1,342","±3,325","±4,163","±5,350","","±1,675","±2,081","±3,301","±3,772","±2,642","±2,955"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,580,939","","","94.3%","2.1%","0.6%","1.4%","0.0%","0.8%","0.8%","2.8%","92.5%","","10.8%","15.9%","20.2%","23.7%","17.5%","8.8%","3.1%","","5.2%","27.2%","32.2%","35.4%","","5.1%","8.4%","17.2%","29.7%","18.8%","20.8%"
"        Margin of Error","±8,718","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.2","±0.2","±0.2","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","777,217","","","606,080","98,476","10,259","25,307","372","21,329","15,394","62,799","568,970","","298,807","128,817","109,463","99,223","64,691","41,680","34,536","","80,924","237,395","277,681","181,217","","157,892","212,044","263,850","102,120","25,003","16,308"
"        Margin of Error","±3,928","","","±3,828","±1,669","±475","±994","±127","±1,003","±867","±1,256","±3,581","","±2,780","±2,189","±2,202","±1,773","±1,533","±1,282","±1,149","","±1,889","±3,299","±3,463","±2,568","","±3,237","±2,857","±3,437","±2,039","±999","±605"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","777,217","","","78.0%","12.7%","1.3%","3.3%","0.0%","2.7%","2.0%","8.1%","73.2%","","38.4%","16.6%","14.1%","12.8%","8.3%","5.4%","4.4%","","10.4%","30.5%","35.7%","23.3%","","20.3%","27.3%","33.9%","13.1%","3.2%","2.1%"
"        Margin of Error","±3,928","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.4","±0.4","±0.3","","±0.4","±0.3","±0.4","±0.2","±0.1","±0.1"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230,101","","","215,848","2,121","3,624","1,456","113","2,467","4,472","17,049","202,923","","50,677","37,731","37,177","46,429","35,119","16,462","6,506","","13,337","61,559","89,689","65,516","","26,967","35,961","57,916","55,760","25,314","28,183"
"        Margin of Error","±1,458","","","±1,609","±316","±273","±230","±67","±395","±580","±669","±1,522","","±1,266","±827","±865","±748","±564","±527","±428","","±860","±1,604","±1,553","±1,520","","±1,192","±1,234","±1,415","±1,395","±1,094","±902"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230,101","","","93.8%","0.9%","1.6%","0.6%","0.0%","1.1%","1.9%","7.4%","88.2%","","22.0%","16.4%","16.2%","20.2%","15.3%","7.2%","2.8%","","5.8%","26.8%","39.0%","28.5%","","11.7%","15.6%","25.2%","24.2%","11.0%","12.2%"
"        Margin of Error","±1,458","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","±0.3","±0.4","","±0.5","±0.4","±0.4","±0.3","±0.3","±0.2","±0.2","","±0.4","±0.7","±0.7","±0.6","","±0.5","±0.5","±0.6","±0.6","±0.5","±0.4"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,972","","","154,497","610","2,116","905","82","1,261","2,501","10,206","146,380","","22,225","26,105","28,116","37,221","29,900","13,661","4,744","","7,689","41,527","61,592","51,164","","10,385","16,581","36,511","47,702","23,731","27,062"
"        Margin of Error","±1,715","","","±1,666","±201","±239","±208","±60","±244","±425","±609","±1,539","","±988","±951","±907","±926","±667","±487","±391","","±633","±1,240","±1,236","±1,312","","±785","±844","±1,106","±1,239","±1,045","±904"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,972","","","95.4%","0.4%","1.3%","0.6%","0.1%","0.8%","1.5%","6.3%","90.4%","","13.7%","16.1%","17.4%","23.0%","18.5%","8.4%","2.9%","","4.7%","25.6%","38.0%","31.6%","","6.4%","10.2%","22.5%","29.5%","14.7%","16.7%"
"        Margin of Error","±1,715","","","±0.4","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","±0.4","±0.5","","±0.5","±0.6","±0.5","±0.6","±0.4","±0.3","±0.2","","±0.4","±0.7","±0.7","±0.7","","±0.5","±0.5","±0.6","±0.7","±0.6","±0.5"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68,129","","","61,351","1,511","1,508","551","31","1,206","1,971","6,843","56,543","","28,452","11,626","9,061","9,208","5,219","2,801","1,762","","5,648","20,032","28,097","14,352","","16,582","19,380","21,405","8,058","1,583","1,121"
"        Margin of Error","±1,663","","","±1,663","±363","±189","±135","±31","±291","±361","±577","±1,630","","±1,215","±691","±689","±771","±531","±326","±306","","±541","±1,161","±1,230","±863","","±1,054","±1,044","±877","±692","±309","±217"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68,129","","","90.1%","2.2%","2.2%","0.8%","0.0%","1.8%","2.9%","10.0%","83.0%","","41.8%","17.1%","13.3%","13.5%","7.7%","4.1%","2.6%","","8.3%","29.4%","41.2%","21.1%","","24.3%","28.4%","31.4%","11.8%","2.3%","1.6%"
"        Margin of Error","±1,663","","","±0.9","±0.5","±0.3","±0.2","±0.1","±0.4","±0.5","±0.8","±1.1","","±1.4","±1.0","±1.0","±1.1","±0.7","±0.5","±0.4","","±0.8","±1.5","±1.5","±1.2","","±1.4","±1.3","±1.2","±1.0","±0.5","±0.3"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,192,654","","","783,698","144,087","2,664","2,261","22","198,015","61,907","1,178,577","10,661","","144,396","181,908","217,722","241,814","226,560","135,088","45,166","","283,105","324,126","271,325","314,098","","64,946","95,540","186,530","282,565","193,151","369,922"
"        Margin of Error","±3,406","","","±3,920","±2,419","±415","±305","±27","±2,953","±1,928","±3,457","±846","","±2,119","±2,004","±2,115","±1,817","±1,824","±1,911","±1,176","","±3,216","±4,208","±3,548","±3,521","","±1,969","±2,142","±2,882","±2,737","±2,661","±3,299"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,192,654","","","65.7%","12.1%","0.2%","0.2%","0.0%","16.6%","5.2%","98.8%","0.9%","","12.1%","15.3%","18.3%","20.3%","19.0%","11.3%","3.8%","","23.7%","27.2%","22.7%","26.3%","","5.4%","8.0%","15.6%","23.7%","16.2%","31.0%"
"        Margin of Error","±3,406","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.1","","±0.3","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","812,625","","","555,242","97,441","1,610","1,424","6","119,028","37,874","803,782","6,777","","41,793","104,657","150,384","182,709","182,636","112,233","38,213","","192,836","203,185","172,762","243,842","","14,092","23,572","78,916","214,370","163,481","318,194"
"        Margin of Error","±4,003","","","±3,583","±2,059","±343","±279","±9","±2,281","±1,712","±3,965","±640","","±1,492","±2,055","±2,102","±1,947","±2,096","±1,884","±1,139","","±2,708","±3,210","±2,885","±3,258","","±807","±1,346","±2,058","±2,699","±2,500","±3,039"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","812,625","","","68.3%","12.0%","0.2%","0.2%","0.0%","14.6%","4.7%","98.9%","0.8%","","5.1%","12.9%","18.5%","22.5%","22.5%","13.8%","4.7%","","23.7%","25.0%","21.3%","30.0%","","1.7%","2.9%","9.7%","26.4%","20.1%","39.2%"
